軸名１,軸名２,前提質問,選択肢１,選択肢２,
得意なこと1（論理）,得意なこと2（感情）,仕事上の課題に直面したとき、どのように対処しますか？,事実やデータに基づき対処,感情や感覚を頼りに対処,
得意なこと1（論理）,得意なこと2（感情）,議論の際、どのように進めますか？,論理的根拠をもとに進行,相手の気持ちに配慮して進行,
得意なこと1（論理）,得意なこと2（感情）,新しいプロジェクトに取り組むとき、どのように進めますか？,明確な手順をもとにする,直観やフィーリングを頼りにする,
得意なこと1（論理）,得意なこと2（感情）,スキルを学ぶとき、どのように学びますか？,論理や概念,経験やエピソード,
得意なこと1（論理）,得意なこと2（感情）,他人の意見と異なる場合、どのように説得しますか？,事実やデータから説得,感情や気持ちから説得,
得意なこと3(精密性),得意なこと4(全体像),プロジェクトを進める際、どのように取り組みますか？,細部にこだわる,全体の流れや方向性を定める,
得意なこと3(精密性),得意なこと4(全体像),作業を進行する際、どちらから決めますか？,細かいタスク,大まかなゴール,
得意なこと3(精密性),得意なこと4(全体像),報告書を作成するとき、どちらをより重視しますか？,誤字脱字や1文ごとの構成,全体のメッセージや章立て,
得意なこと3(精密性),得意なこと4(全体像),計画を立てるとき、どのように行動しますか？,チェックリストをつくる,アイデアや戦略を考える,
得意なこと3(精密性),得意なこと4(全体像),旅行の計画を行う際、どのように取り組みますか？,詳細なスケジュールを決める,大まかな目的地を決める,
得意なこと5(伝統性),得意なこと6(創造性),仕事の進め方を考えるとき、どちらの方法を選択しますか？,既存の方法,新しい方法,
得意なこと5(伝統性),得意なこと6(創造性),新しいアイデアやプロセスを試す際、どのように取り組みますか？,安全で確立した方法,挑戦的で独創的な方法,
得意なこと5(伝統性),得意なこと6(創造性),作業手順を決める際、どのように行動しますか？,既存のフレームワークを採用,独自のやり方を加える,
得意なこと5(伝統性),得意なこと6(創造性),アイデアを提案する際、どのように進めますか？,過去の成功事例を参考にする,独自の発想を重視する,
得意なこと5(伝統性),得意なこと6(創造性),問題解決の際、どのように取り組みますか？,伝統的アプローチ,創造的アプローチ,
7得意なこと(熟考),得意なこと8(即座),重要な決断をする際、どのように行動しますか？,慎重に考える,直観や瞬時の判断,
7得意なこと(熟考),得意なこと8(即座),プロジェクトを開始するときどのように進めますか？,リサーチや分析,行動して調整,
7得意なこと(熟考),得意なこと8(即座),問題に直面したとき、どのように対処しますか？,深く考える,素早く行動,
7得意なこと(熟考),得意なこと8(即座),新しいことを始めるとき、どのように行動しますか？,慎重に計画,試して改善,
7得意なこと(熟考),得意なこと8(即座),予期しない問題が発生したとき、どのように対応しますか？,じっくり考える,すぐに行動,
得意なこと9(身体能力),得意なこと10(学力),どのような作業が得意ですか？,体を動かす作業,頭を使う作業,
得意なこと9(身体能力),得意なこと10(学力),あなたの普段の活動では、どのようなことをよく行いますか？,スポーツ,知的活動,
得意なこと9(身体能力),得意なこと10(学力),仕事で一番活躍できると感じるのはどちらの作業ですか？,身体作業,分析や思考,
得意なこと9(身体能力),得意なこと10(学力),新しいスキルを習得するとき、どのように学びますか？,実践的に学ぶ,理論を学ぶ,
得意なこと9(身体能力),得意なこと10(学力),趣味や余暇の時間に、どのような活動を行いますか？,身体活動,勉強,
